名前,業界,電話番号,住所,レビュー,ホームページ,GoogleMapURL
(株)清光園芸, 園芸センター,086-420-1020 ,〒710-0022 岡山県倉敷市早高２４ ,★★★★☆ ,https://seiko-engei.com ,https://www.google.com/maps/place/(%E6%A0%AA)%E6%B8%85%E5%85%89%E5%9C%92%E8%8A%B8/data=!4m7!3m6!1s0x3553fdbfa5ec9777:0xc90fa20efa05f8a6!8m2!3d34.5834466!4d133.8120096!16s%2Fg%2F1tf6k0p3!19sChIJd5fspb_9UzURpvgF-g6iD8k?authuser=0&hl=ja&rclk=1
農マル園芸 吉備路農園, ファーマーズ マーケット,0866-94-6755 ,〒719-1164 岡山県総社市西郡４１１番地１ ,★★★★☆ ,https://noumaru.jp ,https://www.google.com/maps/place/%E8%BE%B2%E3%83%9E%E3%83%AB%E5%9C%92%E8%8A%B8+%E5%90%89%E5%82%99%E8%B7%AF%E8%BE%B2%E5%9C%92/data=!4m7!3m6!1s0x355155083b2c68e1:0x9007a8f51ef933c5!8m2!3d34.6612427!4d133.7630416!16s%2Fg%2F1th84ylg!19sChIJ4WgsOwhVUTURxTP5HvWoB5A?authuser=0&hl=ja&rclk=1
岡山県温室園芸農協,農業組合,086-296-5298 ,〒701-0221 岡山県岡山市南区藤田５６６－１２６ ,,,https://www.google.com/maps/place/%E5%B2%A1%E5%B1%B1%E7%9C%8C%E6%B8%A9%E5%AE%A4%E5%9C%92%E8%8A%B8%E8%BE%B2%E5%8D%94/data=!4m7!3m6!1s0x3553f8f760b5878f:0x8b92d2bb6b9bec8b!8m2!3d34.6079541!4d133.9018922!16s%2Fg%2F1tfrdld9!19sChIJj4e1YPf4UzURi-yba7vSkos?authuser=0&hl=ja&rclk=1
農マル園芸あかいわ農園, ファーマーズ マーケット,086-956-2211 ,〒709-0817 岡山県赤磐市上市１７５－１ ,★★★★☆ ,https://noumaru.jp ,https://www.google.com/maps/place/%E8%BE%B2%E3%83%9E%E3%83%AB%E5%9C%92%E8%8A%B8%E3%81%82%E3%81%8B%E3%81%84%E3%82%8F%E8%BE%B2%E5%9C%92/data=!4m7!3m6!1s0x35541186c7ceb5bb:0xb36d15d3233a03b3!8m2!3d34.7570686!4d134.0168609!16s%2Fg%2F11g9jrx1c7!19sChIJu7XOx4YRVDURswM6I9MVbbM?authuser=0&hl=ja&rclk=1
全農岡山県本部園芸部園芸集配センター,,086-296-4486 ,〒701-0221 岡山県岡山市南区藤田５６６－１２６ ,,,https://www.google.com/maps/place/%E5%85%A8%E8%BE%B2%E5%B2%A1%E5%B1%B1%E7%9C%8C%E6%9C%AC%E9%83%A8%E5%9C%92%E8%8A%B8%E9%83%A8%E5%9C%92%E8%8A%B8%E9%9B%86%E9%85%8D%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/data=!4m7!3m6!1s0x3553f8f760b5878f:0x6cdf356f3e968072!8m2!3d34.6079542!4d133.9018892!16s%2Fg%2F1tdlf39t!19sChIJj4e1YPf4UzURcoCWPm8132w?authuser=0&hl=ja&rclk=1
倉敷グリーンファーム, 花屋,080-5409-1112 ,〒710-0006 岡山県倉敷市祐安１５０７－２ ,★★★★★ ,https://kurashikigf.com ,https://www.google.com/maps/place/%E5%80%89%E6%95%B7%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0/data=!4m7!3m6!1s0x3551574f736ecdcd:0x87b2c5bed920e2c!8m2!3d34.6178172!4d133.7598135!16s%2Fg%2F11mpr5b2rt!19sChIJzc1uc09XUTURLA6S7Vssewg?authuser=0&hl=ja&rclk=1
RVパーク 農マル園芸 吉備路農園, 駐車場,0866-94-6755 ,〒719-1164 岡山県総社市西郡４１１－１ ,★★★★☆ ,https://kurumatabi.com ,https://www.google.com/maps/place/RV%E3%83%91%E3%83%BC%E3%82%AF+%E8%BE%B2%E3%83%9E%E3%83%AB%E5%9C%92%E8%8A%B8+%E5%90%89%E5%82%99%E8%B7%AF%E8%BE%B2%E5%9C%92/data=!4m7!3m6!1s0x35515508190d0ac3:0x5842ee938277f3ee!8m2!3d34.6620915!4d133.7635437!16s%2Fg%2F11g6xwv6lb!19sChIJwwoNGQhVUTUR7vN3gpPuQlg?authuser=0&hl=ja&rclk=1
熊山英国庭園, 庭園,086-995-9300 ,〒709-0703 岡山県赤磐市殿谷１７０－１ ,★★★★☆ ,https://city.akaiwa.lg.jp ,https://www.google.com/maps/place/%E7%86%8A%E5%B1%B1%E8%8B%B1%E5%9B%BD%E5%BA%AD%E5%9C%92/data=!4m7!3m6!1s0x35541518c332053d:0x181425d87bd89f1c!8m2!3d34.8117856!4d134.0748729!16s%2Fg%2F1thxt12p!19sChIJPQUywxgVVDURHJ_Ye9glFBg?authuser=0&hl=ja&rclk=1
さつき園, 介護施設,086-362-4847 ,〒709-1215 岡山県岡山市南区片岡１７６ ,★★★★★ ,,https://www.google.com/maps/place/%E3%81%95%E3%81%A4%E3%81%8D%E5%9C%92/data=!4m7!3m6!1s0x3553fc7fa3d1a3b1:0x4cb1dc1001174d4a!8m2!3d34.544732!4d133.865673!16s%2Fg%2F1tslgk5r!19sChIJsaPRo3_8UzURSk0XARDcsUw?authuser=0&hl=ja&rclk=1
奈義有機センター堆肥発酵処理施設,肥料製造販売業者,0868-36-8040 ,〒708-1315 岡山県勝田郡奈義町中島西１４３２－７ ,,https://okayama.lin.gr.jp ,https://www.google.com/maps/place/%E5%A5%88%E7%BE%A9%E6%9C%89%E6%A9%9F%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%A0%86%E8%82%A5%E7%99%BA%E9%85%B5%E5%87%A6%E7%90%86%E6%96%BD%E8%A8%AD/data=!4m7!3m6!1s0x3555b55b8278d2ed:0x1c88d8ab9d2156d8!8m2!3d35.1011387!4d134.1538672!16s%2Fg%2F11sbrjqbzk!19sChIJ7dJ4glu1VTUR2FYhnavYiBw?authuser=0&hl=ja&rclk=1
